obs_date,sat_date,NDVI,TCB,TCG,TCW,status
18-12-03,02-01-04,664,6634,-236,-3158,1
12-12-03,15-12-03,1026,4859,-61,-1835,1
12-10-03,04-10-03,2696,3515,252,-1838,1
09-10-03,13-10-03,-2670,1075,-324,353,1
26-07-03,25-07-03,1186,5311,-59,-2955,1
27-05-03,16-05-03,3574,3568,537,-2300,1
25-04-03,17-04-03,730,3303,-180,-726,1
16-03-03,01-03-03,-5163,1202,-648,423,1
20-10-02,20-10-02,785,5988,-58,-2294,1
21-07-02,10-07-02,4484,3930,1043,-1859,1
23-06-02,22-06-02,3267,4115,713,-1303,1
08-05-02,02-05-02,2174,3521,95,-2568,1
27-04-02,02-05-02,3060,2831,245,-2077,1
05-04-02,15-04-02,2928,6100,836,-3075,1
16-11-01,22-11-01,4337,4357,1248,-1537,1
10-11-01,06-11-01,3586,5467,1020,-2509,1
06-09-01,10-09-01,5330,3112,1143,-1307,1
06-08-01,29-07-01,3279,2371,245,-1752,1
01-08-01,29-07-01,3426,3640,513,-2278,1
29-07-01,29-07-01,2270,4018,223,-2621,1
09-06-01,07-06-01,2163,3914,240,-2383,1
30-05-01,30-05-01,4611,4281,1259,-1546,1
18-05-01,24-05-01,3351,3531,590,-1542,1
11-03-01,18-03-01,-1179,1356,-253,165,1
02-03-01,20-02-01,1751,4775,218,-1920,1
14-01-01,19-01-01,5218,3668,1335,-1319,1
20-12-00,22-12-00,1383,4049,202,-1515,1
05-12-00,07-12-00,1038,3408,16,-714,1
09-09-00,05-09-00,1242,4090,5,-1792,1
07-08-00,18-08-00,2699,3769,462,-1952,1
17-06-00,15-06-00,611,8022,-395,-3633,1
27-03-00,21-03-00,-2498,661,-240,196,1
12-12-99,06-12-99,556,7925,-358,-3597,1
25-11-99,26-11-99,2511,1898,254,-552,1
05-11-99,01-11-99,1262,6686,117,-3258,1
04-11-99,03-11-99,1339,5255,145,-1859,1
12-09-99,10-09-99,-1698,1690,-379,366,1
29-12-98,02-01-99,2746,5364,671,-2672,1
15-10-98,12-10-98,2066,4724,304,-2214,1
12-09-98,21-09-98,4551,1204,457,161,1
08-09-98,11-09-98,894,6254,-190,-2376,1
24-02-98,07-03-98,2077,6233,487,-3002,1
13-02-98,08-02-98,929,3896,-103,-1274,1
12-02-98,15-02-98,873,5066,-33,-1475,1
13-01-97,11-01-97,3050,3367,543,-1185,1
22-08-96,16-08-96,3880,963,236,-222,1
17-08-96,18-08-96,3720,3473,613,-1966,1
25-05-96,27-05-96,3645,3749,622,-1959,1
23-05-96,06-06-96,3234,3581,492,-1797,1
19-05-96,05-05-96,2132,2836,53,-2016,1
12-05-96,26-05-96,2607,5577,481,-3575,1
05-05-96,08-05-96,4994,3313,920,-1949,1
20-04-96,22-04-96,1678,5637,133,-3351,1
08-11-95,27-10-95,1988,3204,245,-1165,1
15-01-95,15-01-95,4449,3099,849,-882,1
25-10-94,02-11-94,2909,2615,217,-1695,1
22-03-93,12-03-93,-265,1318,-136,56,1
17-01-93,24-01-93,-749,961,-204,152,1
17-01-93,17-01-93,3034,2667,359,-893,1
17-01-93,17-01-93,-2217,1355,-452,337,1
17-01-93,13-01-93,769,5600,-363,-3559,1
05-11-92,28-10-92,2589,4417,573,-1794,1
03-07-92,22-06-92,2725,4994,453,-2905,1
25-06-92,27-06-92,3018,4322,614,-1732,1
11-03-92,04-03-92,1000,8494,-59,-3414,1
12-12-91,23-12-91,596,7897,-298,-3453,1
22-10-91,29-10-91,922,4702,-145,-1942,1
27-09-91,26-09-91,1584,4911,142,-2094,1
23-09-91,21-09-91,155,2177,-192,-344,1
04-06-91,29-05-91,3590,3299,682,-912,1
31-03-91,07-04-91,1664,3136,58,-1148,1
12-01-91,25-01-91,4886,3214,1073,-1119,1
04-01-91,26-12-90,1297,5980,55,-2952,1
20-12-90,23-12-90,712,6564,-208,-2795,1
21-06-90,04-07-90,5180,3953,1259,-1945,1
25-04-90,23-04-90,7920,3865,2886,-606,1
05-04-90,07-04-90,2040,2306,84,-580,1
05-09-07,02-09-07,1921,5574,411,-2218,1
08-10-07,18-10-07,715,4560,-39,-2066,1
04-09-10,07-09-10,902,3993,-130,-2427,1
01-09-07,02-09-07,2243,3739,227,-2069,1
06-09-07,09-09-07,1159,3334,-168,-2314,1
11-09-07,10-09-07,1972,4415,275,-2385,1
10-09-10,14-09-10,1599,3322,50,-2033,1
11-09-10,14-09-10,1137,5226,37,-2297,1
10-09-11,16-09-11,2774,3940,829,-1302,1
22-09-10,24-09-10,662,5940,-211,-3210,1
11-09-08,26-09-08,2710,3690,329,-2259,1
11-09-08,26-09-08,1758,4181,149,-2244,1
13-09-08,07-09-08,839,2045,-217,-1594,1
13-09-08,07-09-08,1127,3562,-96,-2200,1
15-09-08,07-09-08,1928,3312,47,-2109,1
18-09-08,24-09-08,1869,3260,2,-2159,1
14-09-11,23-09-11,1724,3003,48,-2151,1
01-09-11,13-09-11,1919,4303,-7,-3007,1
02-09-11,04-09-11,4559,2729,767,-928,1
01-09-14,03-09-14,3058,3859,554,-2404,1
01-09-14,03-09-14,2586,3585,421,-2207,1
03-09-14,26-08-14,-4930,1995,-935,773,1
15-09-14,11-09-14,5567,3891,1663,-1225,1
22-09-14,14-09-14,1501,5688,73,-3199,1
22-09-14,14-09-14,1483,3280,70,-1788,1
24-09-14,13-09-14,3287,3580,595,-1879,1
24-09-14,13-09-14,2488,4670,476,-2780,1
29-09-14,14-10-14,1170,4819,-106,-3229,1
03-10-14,06-10-14,3177,4262,621,-2471,1
05-10-14,07-10-14,1855,2693,100,-1449,1
06-10-14,06-10-14,3112,2682,374,-1500,1
06-10-14,06-10-14,1662,3429,137,-1850,1
08-10-14,06-10-14,2733,4139,536,-2365,1
13-10-14,13-10-14,1108,6812,172,-3073,1
17-10-14,13-10-14,988,6423,145,-2622,1
02-09-15,02-09-15,1909,3636,259,-1440,1
09-09-15,04-09-15,1736,3779,53,-2466,1
11-09-15,04-09-15,2394,4230,442,-1856,1
11-09-15,04-09-15,1963,3378,225,-1250,1
18-09-15,16-09-15,3186,4111,595,-2487,1
18-09-15,16-09-15,2931,4388,583,-2500,1
23-09-15,23-09-15,1996,3610,122,-2534,1
30-09-15,24-09-15,5583,4267,1880,-755,1
02-10-15,24-09-15,979,6574,-23,-2814,1
06-10-15,09-10-15,2020,3966,325,-1719,1
11-10-15,08-10-15,819,7245,90,-2444,1
18-10-15,16-10-15,1472,6203,341,-2801,1
18-10-15,16-10-15,1398,4053,168,-2009,1
22-10-15,16-10-15,1691,6338,508,-2700,1
27-10-15,24-10-15,845,4451,18,-1549,1
09-09-14,11-09-14,2360,5129,457,-2313,1
09-09-14,11-09-14,5507,4124,1780,-1088,1
09-09-14,11-09-14,832,7108,-120,-3134,1
11-09-14,11-09-14,2020,5227,443,-2006,1
14-09-14,12-09-14,709,7306,-248,-3627,1
14-09-14,12-09-14,652,7292,-276,-3788,1
16-09-14,19-09-14,701,7244,-239,-3364,1
23-09-14,20-09-14,828,8051,-198,-3503,1
27-09-14,20-09-14,834,5862,-99,-2569,1
27-09-14,27-09-14,911,9578,-239,-4133,1
02-10-14,05-10-14,715,6395,-222,-3153,1
04-10-14,05-10-14,785,5831,-170,-3250,1
09-10-14,06-10-14,1379,4403,207,-1564,1
11-10-14,13-10-14,1342,5620,17,-3167,1
18-10-14,21-10-14,602,6622,-268,-3156,1
23-10-14,29-10-14,-7684,1056,-703,406,1
05-09-14,02-09-14,2548,3422,279,-2293,1
07-09-14,09-09-14,2150,3444,179,-2184,1
07-09-14,09-09-14,2032,4215,289,-2238,1
21-09-14,19-09-14,1933,5114,382,-1903,1
25-09-14,19-09-14,2165,6299,584,-2583,1
27-09-14,27-09-14,1165,4512,30,-2102,1
04-10-14,05-10-14,2911,5210,870,-1936,1
11-10-14,13-10-14,988,5496,-95,-2924,1
18-10-14,21-10-14,609,6021,-297,-2833,1
02-09-13,05-09-13,2333,4407,424,-2441,1
04-09-13,06-09-13,2723,3284,379,-1749,1
07-09-13,06-09-13,4303,2662,541,-1722,1
07-09-13,06-09-13,2037,3826,293,-1953,1
14-09-13,21-09-13,1686,2667,59,-1855,1
17-09-13,21-09-13,3217,3714,652,-1774,1
17-09-13,21-09-13,2204,3628,365,-2018,1
29-09-13,17-09-13,-178,3518,-181,-492,1
11-10-13,09-10-13,928,6973,86,-2998,1
23-10-13,25-10-13,902,6454,-44,-3116,1
23-10-13,17-10-13,1086,7296,105,-3264,1
26-10-13,02-11-13,1223,5688,105,-2872,1
28-10-13,02-11-13,1384,10002,337,-4846,1
05-09-14,04-09-14,4791,1660,522,-722,1
07-09-14,13-09-14,4365,3438,794,-2076,1
17-09-14,18-09-14,1679,2826,55,-1790,1
24-09-14,13-09-14,2349,4898,363,-3159,1
29-09-14,07-10-14,1596,4160,41,-2862,1
01-10-14,14-10-14,3698,3382,642,-1733,1
01-09-13,01-09-13,2256,2939,335,-1365,1
02-09-13,02-09-13,1649,3633,41,-2455,1
04-09-13,02-09-13,2520,3426,323,-2302,1
08-09-13,02-09-13,2130,3452,271,-1947,1
09-09-13,09-09-13,2903,3752,587,-1826,1
11-09-13,09-09-13,3422,2781,375,-1880,1
13-09-13,09-09-13,5015,2823,793,-1733,1
18-09-13,17-09-13,1655,6646,286,-3019,1
18-09-13,17-09-13,2506,4820,628,-1752,1
18-09-13,17-09-13,1183,7078,52,-3067,1
12-10-13,10-10-13,5569,3743,1703,-754,1
26-10-13,18-10-13,3558,4336,1117,-936,1
29-10-13,27-10-13,1112,5936,-58,-3323,1
02-09-13,01-09-13,2992,4048,543,-2228,1
04-09-13,01-09-13,2404,3617,315,-2062,1
04-09-13,01-09-13,2589,2832,189,-2093,1
09-09-13,09-09-13,2203,4081,242,-2557,1
14-09-13,09-09-13,3447,2290,282,-1697,1
21-09-13,25-09-13,1339,6588,-38,-3658,1
21-09-13,25-09-13,1212,6333,-69,-3361,1
26-09-13,24-09-13,1977,3413,232,-1555,1
28-09-13,25-09-13,1227,4322,38,-2193,1
28-09-13,25-09-13,1921,4699,319,-2288,1
03-10-13,03-10-13,1413,5355,144,-2140,1
08-10-13,11-10-13,1599,4406,172,-1921,1
15-10-13,11-10-13,1287,5274,71,-2374,1
25-10-13,02-11-13,1674,5640,327,-2873,1
27-10-13,02-11-13,783,6168,-77,-2836,1
27-10-13,02-11-13,7901,4435,3368,-684,1
01-09-14,01-09-14,1677,3900,91,-2504,1
01-09-14,01-09-14,1571,4362,-10,-3168,1
01-09-14,01-09-14,1667,3887,74,-2781,1
03-09-14,01-09-14,1697,4232,119,-2816,1
03-09-14,01-09-14,1255,4504,-10,-2366,1
08-09-14,09-09-14,1784,6062,232,-3524,1
08-09-14,09-09-14,1656,2653,213,-960,1
10-09-14,01-09-14,1893,4289,155,-2914,1
13-09-14,09-09-14,1892,5371,363,-2464,1
30-09-14,06-10-14,1626,6044,214,-2723,1
03-09-15,10-09-15,1804,4850,173,-2773,1
19-09-15,19-09-15,1391,6399,234,-2983,1
23-09-15,26-09-15,6580,3462,1788,-1165,1
28-09-15,01-10-15,1172,5092,195,-1505,1
30-09-15,01-10-15,1576,4664,177,-2328,1
02-10-15,01-10-15,1284,6097,104,-3047,1
04-10-15,23-09-15,1687,5542,355,-2323,1
25-10-15,17-10-15,684,7942,-56,-3831,1
25-10-15,25-10-15,1030,9120,172,-4268,1
29-10-15,25-10-15,972,8711,157,-3647,1
03-09-16,30-08-16,2284,3361,183,-2362,1
14-09-16,07-09-16,1997,6105,757,-2556,1
16-09-16,22-09-16,2468,3053,263,-1828,1
16-09-16,15-09-16,1633,4078,69,-2542,1
18-09-16,19-09-16,2052,4393,274,-2405,1
21-09-16,02-10-16,5939,3848,1408,-2191,1
02-10-16,03-10-16,1842,4088,151,-2400,1
02-10-16,03-10-16,2005,4513,244,-2605,1
04-10-16,03-10-16,1238,4088,-10,-2130,1
09-10-16,03-10-16,2380,4291,396,-2436,1
05-09-15,06-09-15,3090,2945,392,-1791,1
16-09-15,18-09-15,6750,3176,1580,-1326,1
21-09-15,19-09-15,1763,5417,290,-2775,1
23-09-15,19-09-15,1986,5487,457,-2988,1
25-09-15,19-09-15,7358,3450,2294,-546,1
28-09-15,19-09-15,5204,3466,1319,-1309,1
30-09-15,25-09-15,943,6968,-31,-3280,1
30-09-15,26-09-15,872,6902,0,-3006,1
30-09-15,25-09-15,755,6323,-120,-2560,1
02-10-15,25-09-15,1438,5368,135,-2711,1
04-10-15,11-10-15,1702,4830,286,-1769,1
11-10-15,09-10-15,980,6910,-97,-4038,1
11-10-15,09-10-15,581,9921,-237,-3868,1
16-10-15,16-10-15,1079,5279,0,-3012,1
18-10-15,17-10-15,710,6444,-211,-3764,1
18-10-15,16-10-15,884,6341,-104,-3705,1
18-10-15,17-10-15,655,6494,-255,-3771,1
20-10-15,16-10-15,890,6358,-71,-3690,1
02-09-15,31-08-15,1884,5958,291,-3208,1
03-09-15,08-09-15,2561,3701,375,-1987,1
05-09-15,06-09-15,811,5794,-171,-2900,1
05-09-15,06-09-15,1593,5129,195,-2140,1
07-09-15,06-09-15,1415,5812,116,-2468,1
07-09-15,07-09-15,3018,5053,731,-2348,1
07-09-15,07-09-15,5258,4109,1640,-981,1
16-09-15,15-09-15,773,6723,-188,-2499,1
16-09-15,14-09-15,978,5123,-104,-2575,1
19-09-15,21-09-15,5740,2266,1066,-354,1
19-09-15,21-09-15,2357,3158,213,-1820,1
21-09-15,28-09-15,1165,5950,-53,-2786,1
23-09-15,21-09-15,756,7391,-209,-2981,1
23-09-15,21-09-15,950,7896,-76,-3238,1
23-09-15,21-09-15,1550,1683,-17,-861,1
02-10-15,19-09-15,1432,5760,361,-2402,1
02-10-15,19-09-15,3803,4044,787,-1855,1
07-10-15,04-10-15,2642,4803,688,-1512,1
07-10-15,04-10-15,643,3910,-76,-1226,1
09-10-15,11-10-15,943,3171,-30,-1014,1
09-10-15,11-10-15,1903,5246,337,-2201,1
14-10-15,11-10-15,1473,4717,123,-1841,1
14-10-15,12-10-15,3652,4285,901,-1900,1
18-10-15,17-10-15,1088,4295,25,-2302,1
20-10-15,16-10-15,1590,4248,214,-2111,1
23-10-15,16-10-15,1372,2532,118,-1081,1
25-10-15,24-10-15,761,6715,-45,-2874,1
25-10-15,24-10-15,866,6057,35,-2756,1
27-10-15,24-10-15,719,5657,-65,-2433,1
29-10-15,31-10-15,563,4589,-140,-1933,1
04-09-15,29-08-15,1662,2086,-27,-1473,1
05-09-15,06-09-15,1363,7259,149,-3604,1
16-09-15,15-09-15,735,7285,-208,-3631,1
18-09-15,14-09-15,1158,6501,-11,-3269,1
18-09-15,14-09-15,2599,6930,888,-2499,1
25-09-15,23-09-15,1231,6410,45,-3147,1
29-09-15,01-10-15,-4314,1381,-670,457,1
13-10-15,16-10-15,1340,5070,68,-2533,1
15-10-15,09-10-15,842,8218,-163,-3409,1
15-10-15,09-10-15,924,8796,-131,-3887,1
17-10-15,17-10-15,485,4886,-212,-1510,1
22-10-15,25-10-15,1016,6788,-53,-3432,1
26-10-15,25-10-15,1096,5355,-21,-2794,1
26-10-15,25-10-15,1205,6454,12,-3425,1
29-10-15,25-10-15,1141,5718,34,-2735,1
01-09-16,29-08-16,2497,4029,503,-1937,1
01-09-16,29-08-16,5340,2691,896,-1482,1
03-09-16,05-09-16,1555,3777,21,-2439,1
12-09-16,22-09-16,1888,3575,174,-2136,1
17-09-16,21-09-16,1584,2903,17,-1902,1
19-09-16,17-09-16,2673,6043,945,-1885,1
21-09-16,24-09-16,754,5830,-273,-2710,1
23-09-16,25-09-16,1877,5567,385,-2770,1
26-09-16,25-09-16,1269,7151,134,-3099,1
30-09-16,02-10-16,3547,4469,1017,-1556,1
02-10-16,03-10-16,3796,3975,963,-1408,1
05-10-16,03-10-16,2118,5039,498,-2498,1
07-10-16,10-10-16,4137,4006,1161,-1203,1
16-10-16,11-10-16,1823,6461,481,-2587,1
20-10-16,26-10-16,2816,3738,597,-1389,1
23-10-16,27-10-16,918,7785,-122,-3742,1
25-10-16,27-10-16,1051,5556,-49,-2754,1
02-09-15,29-08-15,3165,3607,495,-2296,1
04-09-15,09-09-15,1855,3589,-2,-2680,1
24-09-15,24-09-15,2134,5452,373,-3246,1
24-09-15,24-09-15,2235,5032,352,-2935,1
29-09-15,02-10-15,2136,4970,290,-3207,1
12-10-15,17-10-15,1287,3042,-2,-1649,1
16-10-15,17-10-15,1823,4080,166,-2376,1
29-10-15,01-11-15,4679,3712,1071,-1947,1
01-09-15,29-08-15,1934,3805,93,-2564,1
02-09-15,06-09-15,1470,3548,43,-2097,1
04-09-15,06-09-15,1930,4171,338,-1978,1
06-09-15,06-09-15,1371,3756,12,-2430,1
06-09-15,06-09-15,2024,4410,335,-2504,1
10-09-15,06-09-15,2726,3242,357,-2011,1
29-09-15,30-09-15,1538,3089,64,-1789,1
01-10-15,01-10-15,3656,2778,580,-1522,1
01-10-15,30-09-15,1498,4831,198,-2270,1
15-10-15,19-10-15,1570,3476,-28,-2242,1
17-10-15,19-10-15,2152,3940,176,-2705,1
21-10-15,19-10-15,1731,4205,54,-2344,1
21-10-15,19-10-15,1818,4779,175,-2230,1
24-10-15,19-10-15,1216,5308,-1,-2196,1
01-09-15,29-08-15,5748,3547,1482,-1555,1
05-09-15,06-09-15,1733,3839,262,-1755,1
05-09-15,06-09-15,1619,5041,349,-2256,1
10-09-15,04-09-15,1620,4263,243,-1931,1
12-09-15,18-09-15,1731,4153,211,-2371,1
12-09-15,18-09-15,1321,3644,142,-1945,1
17-09-15,23-09-15,1710,4127,118,-2662,1
19-09-15,15-09-15,1830,3459,46,-2293,1
24-09-15,30-09-15,4234,4341,844,-2957,1
26-09-15,30-09-15,1736,3848,103,-2363,1
26-09-15,30-09-15,3850,4228,674,-2905,1
28-09-15,30-09-15,2469,3357,174,-2329,1
03-10-15,30-09-15,1803,3664,116,-2245,1
03-10-15,30-09-15,3765,4127,734,-2464,1
12-10-15,17-10-15,3512,3947,815,-1862,1
14-10-15,17-10-15,1479,3775,99,-1863,1
01-09-15,29-08-15,5699,3100,1061,-1752,1
05-09-15,29-08-15,6535,2697,1254,-1174,1
05-09-15,06-09-15,2378,3773,360,-2241,1
26-09-16,24-09-16,1200,4908,-20,-2796,1
05-10-16,03-10-16,689,7806,-272,-3751,1
08-09-17,04-09-17,5932,4111,1670,-1663,1
09-09-17,04-09-17,-1710,645,-178,136,1
11-09-17,04-09-17,1742,3448,31,-2529,1
11-09-17,04-09-17,1882,3685,98,-2569,1
08-10-17,13-10-17,1263,6271,218,-2990,1
05-09-18,22-08-18,2867,3241,538,-1363,1
14-09-18,14-09-18,1816,3367,109,-2103,1
23-09-18,22-09-18,1141,6816,-14,-3203,1
01-09-07,02-09-07,1061,2034,-178,-1358,1
06-09-07,09-09-07,1640,2869,-122,-2531,1
16-09-07,14-09-07,2028,4858,233,-2796,1
21-09-07,21-09-07,1926,3555,170,-1909,1
21-09-07,21-09-07,2040,3275,168,-1646,1
26-09-07,02-10-07,4704,3796,891,-2451,1
01-09-10,31-08-10,1895,4666,228,-2600,1
13-09-10,12-09-10,1274,4436,-118,-2866,1
13-09-11,16-09-11,3923,3533,673,-2001,1
13-09-10,16-09-10,1335,4258,1,-2679,1
05-09-10,02-09-10,977,3240,-121,-1897,1
20-09-08,29-09-08,2095,4069,150,-2770,1
20-09-08,29-09-08,3480,3327,505,-2021,1
22-09-08,12-09-08,1628,4478,98,-2567,1
01-09-11,29-08-11,2429,4045,362,-1449,1
02-09-11,05-09-11,2789,3124,286,-1909,1
02-09-11,05-09-11,3018,3107,380,-1792,1
05-09-11,03-09-11,3230,3264,508,-1838,1
08-09-11,13-09-11,1263,5651,78,-2653,1
09-09-11,14-09-11,1647,4097,107,-2473,1
09-09-11,30-08-11,1587,3760,169,-1865,1
10-09-11,30-08-11,2825,3331,374,-1903,1
13-09-11,08-09-11,2100,4031,212,-2147,1
15-09-11,23-09-11,2352,3189,177,-2263,1
17-09-11,11-09-11,1091,6978,-64,-2990,1
17-09-11,11-09-11,1243,5421,26,-2594,1
17-09-11,11-09-11,1291,5807,39,-2941,1
18-09-11,26-09-11,1353,5590,34,-3412,1
19-09-11,12-09-11,659,10211,-465,-4050,1
21-09-11,28-09-11,1776,4901,208,-2979,1
25-09-11,17-09-11,1000,4820,-246,-3047,1
